model,split,RMSE,R2,MAE
linear-social,train,0.4727,0.7765,0.3399
linear-social,test,0.5052,0.84,0.4105
linear-bio,train,0.6195,0.6162,0.486
linear-bio,test,0.8741,0.5209,0.6405
linear-full,train,0.4291,0.8158,0.3206
linear-full,test,0.4678,0.8628,0.3442
linear-lasso-cv,train,0.4363,0.8096,0.3205
linear-lasso-cv,test,0.4822,0.8542,0.3697
linear-ridge-cv,train,0.4329,0.8126,0.3194
linear-ridge-cv,test,0.4766,0.8575,0.3594
RandomForest-cv,train,0.2722,0.9259,0.2086
RandomForest-cv,test,0.5634,0.8009,0.3939
xgboost-cv,train,0.2828,0.92,0.2107
xgboost-cv,test,0.5844,0.7858,0.3958
